;;;Fehler Plättchendicke;;;;;;;Fehler Plättchendicke;;
Aufgabe 4;;;Fe, Cu, Al [± mm];0.05;;;Aufgabe 5;;;Fe, Cu, Al [± mm];0.05;
;;;Pb [± cm];0.05;;;;;;Pb [± cm];0.05;
;;;;;;;;;;;;
;;Pb-214a;;Pb-214b;;;;;Pb-214c;;Bi-214;
Einzelne Plättchen [mm];d[mm];72 keV [cpm];72 keV Fehler [± %];241 keV [cpm];241 keV Fehler [± %];;Einzelne Plättchen [mm];d[mm];351 keV [cpm];351 keV Fehler [± %];609 keV [cpm];609 keV Fehler [± %]
0;0;22990;0.7;9130;1;;0;0;16041;0.8;10579;1
;;;;;;;;;;;;
Eisen;;Pb-214a;;Pb-214b;;;Eisen;;Pb-214c;;Bi-214;
Einzelne Plättchen [mm];d[mm];72 keV [cpm];72 keV Fehler [± %];241 keV [cpm];241 keV Fehler [± %];;Einzelne Plättchen [mm];d[mm];351 keV [cpm];351 keV Fehler [± %];609 keV [cpm];609 keV Fehler [± %]
1.4;1.4;16541;0.8;8515;1.1;;1.4;1.4;14753;0.8;9801;1
1.95;1.95;14644;0.8;8473;1.1;;1.95;1.95;14243;0.8;9640;1
2,45+2,5;4.95;10022;1;7610;1;;2,45+2,5;4.95;12421;0.9;8469;1.1
1,5+4,5+3,9;9.9;8039;1.1;6098;1.3;;1,5+4,5+3,9;9.9;9259;1;6781;1.2
3,35+4,5+1,95+4,25+3,9;17.95;7224;1.2;4685;1.5;;3,35+4,5+1,95+4,25+3,9;17.95;6450;1.2;4774;1.4
;;;;;;;;;;;;
Kupfer;;Pb-214a;;Pb-214b;;;Kupfer;;Pb-214c;;Bi-214;
Einzelne Plättchen [mm];d[mm];72 keV [cpm];72 keV Fehler [± %];241 keV [cpm];241 keV Fehler [± %];;Einzelne Plättchen [mm];d[mm];351 keV [cpm];351 keV Fehler [± %];609 keV [cpm];609 keV Fehler [± %]
1.15;1.15;15410;0.8;8730;1.1;;1.15;1.15;14723;0.8;9681;1
2;2;12255;0.9;8415;1.1;;2;2;13890;0.8;9371;1
3,95+1,15;5.1;9215;1;7635;1.1;;3,95+1,15;5.1;11740;0.9;8188;1.1
3,95+2,95+2,0+1,15;10.05;7686;1.1;6170;1.3;;3,95+2,95+2,0+1,15;10.05;8752;1.1;6546;1.2
4,0+3,95+3,95+3,45+1,5+1,15;18;6999;1.2;4243;1.5;;4,0+3,95+3,95+3,45+1,5+1,15;18;5991;1.3;4573;1.5
;;;;;;;;;;;;
Aluminium;;Pb-214a;;Pb-214b;;;Aluminium;;Pb-214c;;Bi-214;
Einzelne Plättchen [mm];d[mm];72 keV [cpm];72 keV Fehler [± %];241 keV [cpm];241 keV Fehler [± %];;Einzelne Plättchen [mm];d[mm];351 keV [cpm];351 keV Fehler [± %];609 keV [cpm];609 keV Fehler [± %]
1;1.4;22487;0.7;9050;1;;1;1.4;15546;0.8;10269;1
1,0+0,95;1.95;22013;0.7;8801;1.1;;1,0+0,95;1.95;15282;0.8;10237;1
2,5+2,5;4.95;20576;0.7;8691;1.1;;2,5+2,5;4.95;14668;0.8;9659;1
2,5+2,5+1,0+4,0;9.9;18159;0.7;8220;1.1;;2,5+2,5+1,0+4,0;9.9;13285;0.9;8984;1
4,9+4,9+3+4+1,45;17.95;15406;0.8;7162;1.2;;4,9+4,9+3+4+1,45;17.95;11468;0.9;7789;1.1
;;;;;;;;;;;;
Blei;;Pb-214a;;Pb-214b;;;Blei;;Pb-214c;;Bi-214;
Einzelne Plättchen [cm];d[cm];72 keV [cpm];72 keV Fehler [± %];241 keV [cpm];241 keV Fehler [± %];;Einzelne Plättchen [cm];d[cm];351 keV [cpm];351 keV Fehler [± %];609 keV [cpm];609 keV Fehler [± %]
1.1;1.1;4227;1.5;1716;2.4;;1.1;1.1;2372;2.1;3464;1.7
1,1+1,3;2.4;3255;1.8;1006;3.2;;1,1+1,3;2.4;1068;3.1;1236;2.9
1,1+1,3+1,3;3.6;2657;1.9;757;3.7;;1,1+1,3+1,3;3.6;778.4;3.6;540.1;4.4
5;5;258;6.8;165;8.6;;5;5;236.9;6.8;257.8;6.6
10;10;30.81;30.2;21.86;35.6;;10;10;31.08;24.4;12.34;53.2
;;;;;;;;;;;;
;;;;;;;;;;;;
