Material;Stack;72 keV;Err;241 keV;Err
None;0;22990;0.7;9130;1
Fe;1.4;16541;0.8;8515;1.1
Fe;1.95;14644;0.8;8473;1.1
Fe;2.45+2.5;10022;1;7610;1
Fe;1.5+4.5+3.9;8039;1.1;6098;1.3
Fe;3.35+4.5+1.95+4.25+3.9;7224;1.2;4685;1.5
Cu;1.15;15410;0.8;8730;1.1
Cu;2;12255;0.9;8415;1.1
Cu;3.95+1.15;9215;1;7635;1.1
Cu;3.95+2.95+2.0+1.15;7686;1.1;6170;1.3
Cu;4.0+3.95+3.95+3.45+1.5+1.15;6999;1.2;4243;1.5
Al;1;22487;0.7;9050;1
Al;1.0+0.95;22013;0.7;8801;1.1
Al;2.5+2.5;20576;0.7;8691;1.1
Al;2.5+2.5+1.0+4.0;18159;0.7;8220;1.1
Al;4.9+4.9+3+4+1.45;15406;0.8;7162;1.2
Pb;11;4227;1.5;1716;2.4
Pb;11+13;3255;1.8;1006;3.2
Pb;11+13+13;2657;1.9;757;3.7
Pb;50;258;6.8;165;8.6
Pb;50+50;30.81;30.2;21.86;35.6
