Kanal;   Energie(keV); Impulse
       1;     1.0000;            0   
       2;     2.0000;            0   
       3;     3.0000;            0   
       4;     4.0000;            0   
       5;     5.0000;            0   
       6;     6.0000;            0   
       7;     7.0000;            0   
       8;     8.0000;           39   
       9;     9.0000;          263   
      10;    10.0000;          452   
      11;    11.0000;          502   
      12;    12.0000;          610   
      13;    13.0000;        35610   
      14;    14.0000;        98760   
      15;    15.0000;       103851   
      16;    16.0000;       104071   
      17;    17.0000;       102171   
      18;    18.0000;        99055   
      19;    19.0000;        94952   
      20;    20.0000;        91051   
      21;    21.0000;        88068   
      22;    22.0000;        85143   
      23;    23.0000;        81696   
      24;    24.0000;        78775   
      25;    25.0000;        76305   
      26;    26.0000;        73444   
      27;    27.0000;        71122   
      28;    28.0000;        69757   
      29;    29.0000;        69156   
      30;    30.0000;        68243   
      31;    31.0000;        67015   
      32;    32.0000;        66346   
      33;    33.0000;        63881   
      34;    34.0000;        61988   
      35;    35.0000;        59584   
      36;    36.0000;        58504   
      37;    37.0000;        56943   
      38;    38.0000;        56450   
      39;    39.0000;        55897   
      40;    40.0000;        55410   
      41;    41.0000;        54764   
      42;    42.0000;        53723   
      43;    43.0000;        51327   
      44;    44.0000;        48244   
      45;    45.0000;        45438   
      46;    46.0000;        43183   
      47;    47.0000;        41317   
      48;    48.0000;        39493   
      49;    49.0000;        37960   
      50;    50.0000;        36457   
      51;    51.0000;        34722   
      52;    52.0000;        33421   
      53;    53.0000;        32150   
      54;    54.0000;        30974   
      55;    55.0000;        29819   
      56;    56.0000;        28349   
      57;    57.0000;        26740   
      58;    58.0000;        25346   
      59;    59.0000;        23910   
      60;    60.0000;        22918   
      61;    61.0000;        21562   
      62;    62.0000;        20696   
      63;    63.0000;        19555   
      64;    64.0000;        18588   
      65;    65.0000;        17747   
      66;    66.0000;        16918   
      67;    67.0000;        16014   
      68;    68.0000;        15050   
      69;    69.0000;        14185   
      70;    70.0000;        13511   
      71;    71.0000;        12970   
      72;    72.0000;        12387   
      73;    73.0000;        11399   
      74;    74.0000;        10938   
      75;    75.0000;        10231   
      76;    76.0000;         9697   
      77;    77.0000;         9037   
      78;    78.0000;         8850   
      79;    79.0000;         8318   
      80;    80.0000;         7728   
      81;    81.0000;         7380   
      82;    82.0000;         7040   
      83;    83.0000;         6618   
      84;    84.0000;         6229   
      85;    85.0000;         5850   
      86;    86.0000;         5503   
      87;    87.0000;         5159   
      88;    88.0000;         4910   
      89;    89.0000;         4448   
      90;    90.0000;         4262   
      91;    91.0000;         4144   
      92;    92.0000;         3944   
      93;    93.0000;         3636   
      94;    94.0000;         3421   
      95;    95.0000;         3293   
      96;    96.0000;         3156   
      97;    97.0000;         2814   
      98;    98.0000;         2767   
      99;    99.0000;         2501   
     100;   100.0000;         2435   
     101;   101.0000;         2407   
     102;   102.0000;         2172   
     103;   103.0000;         2049   
     104;   104.0000;         1885   
     105;   105.0000;         1796   
     106;   106.0000;         1723   
     107;   107.0000;         1598   
     108;   108.0000;         1580   
     109;   109.0000;         1440   
     110;   110.0000;         1387   
     111;   111.0000;         1341   
     112;   112.0000;         1259   
     113;   113.0000;         1140   
     114;   114.0000;         1120   
     115;   115.0000;         1057   
     116;   116.0000;         1011   
     117;   117.0000;          946   
     118;   118.0000;          935   
     119;   119.0000;          860   
     120;   120.0000;          747   
     121;   121.0000;          787   
     122;   122.0000;          726   
     123;   123.0000;          689   
     124;   124.0000;          653   
     125;   125.0000;          601   
     126;   126.0000;          582   
     127;   127.0000;          581   
     128;   128.0000;          501   
     129;   129.0000;          500   
     130;   130.0000;          471   
     131;   131.0000;          509   
     132;   132.0000;          438   
     133;   133.0000;          425   
     134;   134.0000;          380   
     135;   135.0000;          376   
     136;   136.0000;          335   
     137;   137.0000;          380   
     138;   138.0000;          344   
     139;   139.0000;          292   
     140;   140.0000;          284   
     141;   141.0000;          291   
     142;   142.0000;          282   
     143;   143.0000;          245   
     144;   144.0000;          225   
     145;   145.0000;          248   
     146;   146.0000;          213   
     147;   147.0000;          217   
     148;   148.0000;          224   
     149;   149.0000;          204   
     150;   150.0000;          217   
     151;   151.0000;          194   
     152;   152.0000;          166   
     153;   153.0000;          168   
     154;   154.0000;          143   
     155;   155.0000;          172   
     156;   156.0000;          159   
     157;   157.0000;          155   
     158;   158.0000;          125   
     159;   159.0000;          151   
     160;   160.0000;          129   
     161;   161.0000;          125   
     162;   162.0000;          128   
     163;   163.0000;          133   
     164;   164.0000;          128   
     165;   165.0000;          113   
     166;   166.0000;          109   
     167;   167.0000;          110   
     168;   168.0000;          123   
     169;   169.0000;          113   
     170;   170.0000;          108   
     171;   171.0000;           98   
     172;   172.0000;          108   
     173;   173.0000;           86   
     174;   174.0000;           86   
     175;   175.0000;           80   
     176;   176.0000;           91   
     177;   177.0000;           79   
     178;   178.0000;           82   
     179;   179.0000;           62   
     180;   180.0000;           80   
     181;   181.0000;           68   
     182;   182.0000;           82   
     183;   183.0000;           73   
     184;   184.0000;           76   
     185;   185.0000;           68   
     186;   186.0000;           79   
     187;   187.0000;           76   
     188;   188.0000;           64   
     189;   189.0000;           63   
     190;   190.0000;           69   
     191;   191.0000;           80   
     192;   192.0000;           63   
     193;   193.0000;           70   
     194;   194.0000;           69   
     195;   195.0000;           67   
     196;   196.0000;           56   
     197;   197.0000;           70   
     198;   198.0000;           67   
     199;   199.0000;           66   
     200;   200.0000;           57   
     201;   201.0000;           60   
     202;   202.0000;           82   
     203;   203.0000;           61   
     204;   204.0000;           63   
     205;   205.0000;           70   
     206;   206.0000;           55   
     207;   207.0000;           59   
     208;   208.0000;           50   
     209;   209.0000;           78   
     210;   210.0000;           55   
     211;   211.0000;           56   
     212;   212.0000;           63   
     213;   213.0000;           45   
     214;   214.0000;           62   
     215;   215.0000;           57   
     216;   216.0000;           49   
     217;   217.0000;           48   
     218;   218.0000;           51   
     219;   219.0000;           53   
     220;   220.0000;           45   
     221;   221.0000;           56   
     222;   222.0000;           61   
     223;   223.0000;           70   
     224;   224.0000;           60   
     225;   225.0000;           67   
     226;   226.0000;           50   
     227;   227.0000;           55   
     228;   228.0000;           48   
     229;   229.0000;           54   
     230;   230.0000;           51   
     231;   231.0000;           39   
     232;   232.0000;           55   
     233;   233.0000;           64   
     234;   234.0000;           54   
     235;   235.0000;           60   
     236;   236.0000;           60   
     237;   237.0000;           50   
     238;   238.0000;           56   
     239;   239.0000;           52   
     240;   240.0000;           43   
     241;   241.0000;           66   
     242;   242.0000;           61   
     243;   243.0000;           62   
     244;   244.0000;           37   
     245;   245.0000;           43   
     246;   246.0000;           62   
     247;   247.0000;           57   
     248;   248.0000;           60   
     249;   249.0000;           53   
     250;   250.0000;           57   
     251;   251.0000;           57   
     252;   252.0000;           61   
     253;   253.0000;           57   
     254;   254.0000;           53   
     255;   255.0000;           59   
     256;   256.0000;           51   
     257;   257.0000;           52   
     258;   258.0000;           56   
     259;   259.0000;           63   
     260;   260.0000;           47   
     261;   261.0000;           49   
     262;   262.0000;           54   
     263;   263.0000;           64   
     264;   264.0000;           48   
     265;   265.0000;           54   
     266;   266.0000;           68   
     267;   267.0000;           61   
     268;   268.0000;           53   
     269;   269.0000;           53   
     270;   270.0000;           50   
     271;   271.0000;           59   
     272;   272.0000;           78   
     273;   273.0000;           55   
     274;   274.0000;           42   
     275;   275.0000;           53   
     276;   276.0000;           57   
     277;   277.0000;           64   
     278;   278.0000;           57   
     279;   279.0000;           47   
     280;   280.0000;           55   
     281;   281.0000;           46   
     282;   282.0000;           58   
     283;   283.0000;           51   
     284;   284.0000;           57   
     285;   285.0000;           64   
     286;   286.0000;           67   
     287;   287.0000;           47   
     288;   288.0000;           51   
     289;   289.0000;           62   
     290;   290.0000;           57   
     291;   291.0000;           55   
     292;   292.0000;           55   
     293;   293.0000;           51   
     294;   294.0000;           57   
     295;   295.0000;           44   
     296;   296.0000;           64   
     297;   297.0000;           60   
     298;   298.0000;           59   
     299;   299.0000;           62   
     300;   300.0000;           64   
     301;   301.0000;           68   
     302;   302.0000;           63   
     303;   303.0000;           67   
     304;   304.0000;           52   
     305;   305.0000;           62   
     306;   306.0000;           63   
     307;   307.0000;           62   
     308;   308.0000;           48   
     309;   309.0000;           73   
     310;   310.0000;           69   
     311;   311.0000;           50   
     312;   312.0000;           57   
     313;   313.0000;           75   
     314;   314.0000;           50   
     315;   315.0000;           47   
     316;   316.0000;           71   
     317;   317.0000;           54   
     318;   318.0000;           55   
     319;   319.0000;           84   
     320;   320.0000;           58   
     321;   321.0000;           82   
     322;   322.0000;           58   
     323;   323.0000;           77   
     324;   324.0000;           64   
     325;   325.0000;           63   
     326;   326.0000;           63   
     327;   327.0000;           76   
     328;   328.0000;           64   
     329;   329.0000;           65   
     330;   330.0000;           72   
     331;   331.0000;           59   
     332;   332.0000;           79   
     333;   333.0000;           50   
     334;   334.0000;           64   
     335;   335.0000;           72   
     336;   336.0000;           61   
     337;   337.0000;           67   
     338;   338.0000;           66   
     339;   339.0000;           65   
     340;   340.0000;           61   
     341;   341.0000;           76   
     342;   342.0000;           88   
     343;   343.0000;           79   
     344;   344.0000;           78   
     345;   345.0000;           59   
     346;   346.0000;           70   
     347;   347.0000;           75   
     348;   348.0000;           73   
     349;   349.0000;           70   
     350;   350.0000;           72   
     351;   351.0000;           57   
     352;   352.0000;           71   
     353;   353.0000;           75   
     354;   354.0000;           54   
     355;   355.0000;           74   
     356;   356.0000;           67   
     357;   357.0000;           47   
     358;   358.0000;           73   
     359;   359.0000;           75   
     360;   360.0000;           69   
     361;   361.0000;           63   
     362;   362.0000;           76   
     363;   363.0000;           61   
     364;   364.0000;           60   
     365;   365.0000;           82   
     366;   366.0000;           70   
     367;   367.0000;           59   
     368;   368.0000;           70   
     369;   369.0000;           76   
     370;   370.0000;           83   
     371;   371.0000;           79   
     372;   372.0000;           71   
     373;   373.0000;           77   
     374;   374.0000;           83   
     375;   375.0000;           81   
     376;   376.0000;           70   
     377;   377.0000;           79   
     378;   378.0000;           63   
