ESTAR: Stopping Powers and Range Tables for Electrons

IRON                                                                     

Kinetic   CSDA      
Energy;Range
1.000E-02;4.330E-04
1.250E-02;6.284E-04
1.500E-02;8.539E-04
1.750E-02;1.108E-03
2.000E-02;1.390E-03
2.500E-02;2.032E-03
3.000E-02;2.774E-03
3.500E-02;3.610E-03
4.000E-02;4.536E-03
4.500E-02;5.546E-03
5.000E-02;6.637E-03
5.500E-02;7.806E-03
6.000E-02;9.050E-03
7.000E-02;1.175E-02
8.000E-02;1.471E-02
9.000E-02;1.792E-02
1.000E-01;2.136E-02
1.250E-01;3.085E-02
1.500E-01;4.149E-02
1.750E-01;5.310E-02
2.000E-01;6.556E-02
2.500E-01;9.257E-02
3.000E-01;1.218E-01
3.500E-01;1.528E-01
4.000E-01;1.851E-01
4.500E-01;2.186E-01
5.000E-01;2.528E-01
5.500E-01;2.877E-01
6.000E-01;3.232E-01
7.000E-01;3.952E-01
8.000E-01;4.683E-01
9.000E-01;5.420E-01
1.000E+00;6.159E-01
1.250E+00;8.011E-01
1.500E+00;9.851E-01
1.750E+00;1.167E+00
2.000E+00;1.347E+00
2.500E+00;1.699E+00
3.000E+00;2.042E+00
3.500E+00;2.375E+00
4.000E+00;2.700E+00
4.500E+00;3.016E+00
5.000E+00;3.325E+00
5.500E+00;3.627E+00
6.000E+00;3.922E+00
7.000E+00;4.493E+00
8.000E+00;5.042E+00
9.000E+00;5.569E+00
1.000E+01;6.077E+00
1.250E+01;7.272E+00
1.500E+01;8.374E+00
1.750E+01;9.397E+00
2.000E+01;1.035E+01
2.500E+01;1.209E+01
3.000E+01;1.365E+01
3.500E+01;1.505E+01
4.000E+01;1.633E+01
4.500E+01;1.750E+01
5.000E+01;1.859E+01
5.500E+01;1.959E+01
6.000E+01;2.054E+01
7.000E+01;2.226E+01
8.000E+01;2.379E+01
9.000E+01;2.517E+01
1.000E+02;2.643E+01
1.250E+02;2.917E+01
1.500E+02;3.146E+01
1.750E+02;3.342E+01
2.000E+02;3.515E+01
2.500E+02;3.807E+01
3.000E+02;4.048E+01
3.500E+02;4.254E+01
4.000E+02;4.433E+01
4.500E+02;4.592E+01
5.000E+02;4.734E+01
5.500E+02;4.863E+01
6.000E+02;4.981E+01
7.000E+02;5.191E+01
8.000E+02;5.373E+01
9.000E+02;5.534E+01
1.000E+03;5.678E+01
